"level","x1","y1","x2","y2"
"line",560,318,1360,339
"line",628,360,975,381
"line",628,402,986,423
"line",628,444,1042,465
"line",560,487,587,508
"line",560,529,945,550
"line",628,571,1087,592
"line",628,614,863,635
"line",628,656,1087,677
"line",628,698,863,719
"line",560,740,587,761
"element",560,318,626,339
"element",627,318,738,339
"element",739,318,794,339
"element",795,318,839,339
"element",840,318,895,339
"element",896,318,939,339
"element",940,318,984,339
"element",985,318,1040,339
"element",1041,318,1085,339
"element",1086,318,1130,339
"element",1131,318,1186,339
"element",1187,318,1231,339
"element",1232,318,1276,339
"element",1277,318,1332,339
"element",1333,318,1360,339
"element",628,360,678,381
"element",679,360,745,381
"element",746,360,768,381
"element",769,360,857,381
"element",858,360,880,381
"element",881,360,975,381
"element",628,402,678,423
"element",679,402,756,423
"element",757,402,779,423
"element",780,402,868,423
"element",869,402,891,423
"element",892,402,986,423
"element",628,444,678,465
"element",679,444,734,465
"element",735,444,756,465
"element",757,444,880,465
"element",881,444,902,465
"element",903,444,1042,465
"element",560,487,587,508
"element",560,529,637,550
"element",638,529,783,550
"element",784,529,872,550
"element",873,529,917,550
"element",918,529,945,550
"element",628,571,678,592
"element",679,571,745,592
"element",746,571,768,592
"element",769,571,812,592
"element",813,571,958,592
"element",959,571,992,592
"element",993,571,1036,592
"element",1037,571,1087,592
"element",628,614,863,635
"element",628,656,678,677
"element",679,656,745,677
"element",746,656,768,677
"element",769,656,812,677
"element",813,656,958,677
"element",959,656,992,677
"element",993,656,1036,677
"element",1037,656,1087,677
"element",628,698,863,719
"element",560,740,587,761
